Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Beans, Dry, Pink, 504 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 636 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 404 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 794 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 461 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 629 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 411 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 732 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 342 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 342 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 502 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 819 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 359 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 687 (0% moisture)",21.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 321 (0% moisture)",21.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 739 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 338 (0% moisture)",20.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 712 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 445 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 796 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 477 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 752 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 486 (0% moisture)",26.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 701 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 433 (0% moisture)",20.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 725 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 448 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 652 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 354 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink, 664 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pink (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8043 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8162 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8007 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8195 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8027 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8165 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8098 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8107 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8028 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8179 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8030 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8143 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8004 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 11F-8183 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 287 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 613 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 289 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 560 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 279 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 586 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 233 (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 584 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 229 (0% moisture)",22.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 603 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 299 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 585 (0% moisture)",26.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 292 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 576 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 261 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 582 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 230 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 557 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 242 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 556 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 320 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 595 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 311 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 578 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 280 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 598 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 245 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 605 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 262 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 588 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 284 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 599 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 256 (0% moisture)",23.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 524 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 476 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 260 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 771 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 627 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 255 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 568 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 294 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 589 (0% moisture)",22.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 246 (0% moisture)",20.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 587 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 236 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 530 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 241 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 554 (0% moisture)",28.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 234 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 626 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 228 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 623 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 268 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 548 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 386 (0% moisture)",22.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 719 (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 253 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 523 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 319 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 609 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 422 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 313 (0% moisture)",25.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 721 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 561 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 283 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 525 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 264 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 567 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 226 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 558 (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 281 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 546 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 295 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 543 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 220 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 521 (0% moisture)",26.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 213 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 628 (0% moisture)",26.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 237 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 532 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 316 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 535 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 290 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 539 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 307 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 614 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 252 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 565 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 277 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 559 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 216 (0% moisture)",20.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 541 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 312 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 551 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 257 (0% moisture)",22.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 555 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 308 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy, 612 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Navy (0% moisture)",24.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Red Kidney, 11F-8186 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Red Kidney, 11F-8186 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Light Red Kidney (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Brown, 351 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Brown, 679 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Brown (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Flor de Mayo, 443 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Flor de Mayo, 823 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Flor de Mayo (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca, 11F-8001 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca, 11F-8104 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca, 217 (0% moisture)",25.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca, 622 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Carioca (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 11F-8005 (0% moisture)",27.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 11F-8175 (0% moisture)",28.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 11F-8042 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 11F-8148 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 302 (0% moisture)",27.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 540 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 231 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan, 577 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Tan (0% moisture)",26.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8006 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8106 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8091 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8147 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8075 (0% moisture)",22.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8157 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8096 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8191 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8012 (0% moisture)",27.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8170 (0% moisture)",27.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8099 (0% moisture)",27.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8114 (0% moisture)",29.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8024 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8151 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8081 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8133 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8035 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8164 (0% moisture)",23.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8048 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8144 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8088 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8159 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8069 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8101 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8089 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8167 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8094 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8121 (0% moisture)",24.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8049 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8176 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8095 (0% moisture)",24.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8173 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8038 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8196 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8047 (0% moisture)",27.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8108 (0% moisture)",27.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8031 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8120 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8078 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8100 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8032 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8109 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8037 (0% moisture)",20.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8182 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8054 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8181 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8055 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8166 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8079 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8118 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8026 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8103 (0% moisture)",25.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8070 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8198 (0% moisture)",24.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8083 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8126 (0% moisture)",24.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8076 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8178 (0% moisture)",25.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8065 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8102 (0% moisture)",22.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8072 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 11F-8189 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 465 (0% moisture)",29.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 761 (0% moisture)",27.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 435 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 743 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 326 (0% moisture)",20.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 667 (0% moisture)",19.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 365 (0% moisture)",22.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 696 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 334 (0% moisture)",20.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 684 (0% moisture)",21.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 360 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 784 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 436 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 825 (0% moisture)",24.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 377 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 805 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 462 (0% moisture)",26.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 633 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 270 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 442 (0% moisture)",25.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 591 (0% moisture)",26.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 814 (0% moisture)",26.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 503 (0% moisture)",23.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 676 (0% moisture)",22.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 356 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 816 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 218 (0% moisture)",21.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 563 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 366 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 717 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 437 (0% moisture)",24.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 657 (0% moisture)",24.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 456 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 700 (0% moisture)",23.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 394 (0% moisture)",25.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 735 (0% moisture)",26.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 391 (0% moisture)",25.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 702 (0% moisture)",26.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 361 (0% moisture)",22.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 747 (0% moisture)",22.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 358 (0% moisture)",20.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 720 (0% moisture)",21.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 398 (0% moisture)",27.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 765 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 516 (0% moisture)",26.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 776 (0% moisture)",21.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 389 (0% moisture)",21.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 736 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 452 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 728 (0% moisture)",22.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 497 (0% moisture)",25.4,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 715 (0% moisture)",21.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 373 (0% moisture)",25.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 821 (0% moisture)",26.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 479 (0% moisture)",23.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 734 (0% moisture)",23.7,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 368 (0% moisture)",23.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 640 (0% moisture)",23.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 510 (0% moisture)",25.6,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 718 (0% moisture)",23.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 426 (0% moisture)",24.8,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 783 (0% moisture)",23.2,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 498 (0% moisture)",24.5,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 634 (0% moisture)",20.3,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 427 (0% moisture)",21.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 695 (0% moisture)",21.1,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 382 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 661 (0% moisture)",20.9,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 464 (0% moisture)",22.0,Legumes and Legume Products,0,Medium
"Beans, Dry, Pinto, 770 (0% moisture)",22.3,Legumes and Legume Products,0,Medium
