Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (IN,NY) - NFY120OOV",8.07,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (CO,CT) - NFY120OPV",7.92,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (MI,OK) - NFY120OQI",8.36,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (NY,NC) - NFY120ORF",8.06,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (CA2,CO) - NFY120OS1",8.09,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (FL,MO) - NFY120OQ2",8.24,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (CA1,OK) - NFY120OQS",8.16,Dairy and Egg Products,1,Low
"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (CA2,NC) - NFY120OPG",7.96,Dairy and Egg Products,1,Low
"Yogurt, Greek, strawberry, nonfat",8.06,Dairy and Egg Products,1,Low
"Oil, coconut",0.0,Fats and Oils,1,Low
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (AL1)",26.5,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (National) ",18.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (FL1,MO1,NY1) ",18.0,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (MI1) ",18.5,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (MI1)",27.3,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (National) ",26.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (FL1,MO1,NY1) ",27.0,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (MI1) ",28.5,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CA2,NC1) ",18.9,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (NC1) ",18.5,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (NC1)",25.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CA2,NC1) ",26.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (NC1) ",25.3,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CO1,CT1,IN1) ",18.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CO1) ",20.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (CO1)",29.0,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CO1,CT1,IN1) ",25.7,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CO1) ",25.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (AL1,CA1,MI1) ",19.2,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (NY1) ",18.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (NY1)",26.2,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (AL1,CA1,MI1) ",26.2,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (NY1) ",23.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (FL1) ",20.1,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (FL1)",28.5,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (FL1) ",25.9,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (MO1) ",17.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (MO1)",26.9,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (MO1) ",23.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CA1) ",18.6,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (CA1)",26.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CA1) ",24.9,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (IN1) ",18.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (IN1)",27.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (IN1) ",25.4,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, raw (CA2) ",19.7,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, pan-broiled crumbles (CA2)",27.8,Poultry Products,0,Medium
"Protein, ash,& moisture, Ground turkey, 93% lean, 7% fat, patties, broiled (CA2) ",27.5,Poultry Products,0,Medium
